36	037	EQ-67udZEeg	short	Knowledge
65	066	x6jPuXwtxCM	short	Knowledge
66	067	yXNShWnon4g	short	Knowledge
108	109	qu9ImFMLYxw	short	Film & Television
117	118	tGdL-34L-GE	short	Film & Television
164	165	2yGaTOzaGIA	short	Sports Competition
201	202	QtKT3q7xB4M	short	Artistic Performance
263	264	8e05W-wi38g	short	Life Record
278	279	hsKmC7RwHvo	short	Life Record
293	294	nbOXpuv7K4Q	short	Multilingual
309	310	A9fQPzZ1-hg	medium	Knowledge
376	377	RF86oSB6_bc	medium	Knowledge
379	380	2Bns2m5Bg4M	medium	Knowledge
392	393	dcYgBU4t98E	medium	Film & Television
443	444	EavQ0LtEICY	medium	Sports Competition
445	446	ACvLYz9nHvg	medium	Sports Competition
480	481	CwzjlmBLfrQ	medium	Artistic Performance
514	515	a7jZszvFpTY	medium	Artistic Performance
521	522	0ag_Qi5OEd0	medium	Life Record
542	543	MZEdnBcLcfg	medium	Life Record
604	605	xKiRmesHWIA	long	Knowledge
622	623	gfikT_O4v9A	long	Knowledge
650	651	Pfyx5bEZK80	long	Knowledge
705	706	ctqn-UJGX5M	long	Film & Television
707	708	xGcfBRkJSWQ	long	Film & Television
743	744	4od5mdtEp-E	long	Sports Competition
807	808	leG0U5wzGlA	long	Artistic Performance
850	851	Lo-ewzf-Q1k	long	Life Record
864	865	YEok4Ykw204	long	Life Record
890	891	uuCVnqV4cNc	long	Multilingual
